,0,1,vars,t
1,0.0029747137800479003,0.0,1,113
0,0.0,0.1267676424840161,0,114
1,0.004211537606657401,0.0,1,114
0,0.0,0.13092627672764895,0,115
1,0.004490299281339799,0.0,1,115
0,0.0,0.1351546970626219,0,116
1,0.004780254736058225,0.0,1,116
0,0.0,0.10294066630940338,0,117
1,0.0027631588207420983,0.0,1,117
0,0.0,0.12191317692036802,0,118
1,0.0038837561747076823,0.0,1,118
0,0.0,0.128356567826285,0,119
1,0.0043033968512575915,0.0,1,119
0,0.0,0.12412474361010768,0,120
1,0.004023062269469979,0.0,1,120
0,0.0,0.12393566907495447,0,121
1,0.004009889505557799,0.0,1,121
0,0.0,0.12327046049972117,0,122
1,0.003959560939452951,0.0,1,122
0,0.0,0.1227401511157919,0,123
1,0.003910780963500262,0.0,1,123
0,0.0,0.12260317810921813,0,124
1,0.003872352052058124,0.0,1,124
0,0.0,0.12341993899175371,0,125
1,0.003896891650839783,0.0,1,125
0,0.0,0.12422119970667485,0,126
1,0.00394058081672777,0.0,1,126
0,0.0,0.12441278905927106,0,127
1,0.003954526313013638,0.0,1,127
0,0.0,0.12442489527378423,0,128
1,0.003956036637249557,0.0,1,128
0,0.0,0.12442362876229833,0,129
1,0.003956012190324035,0.0,1,129
0,0.0,0.12442362876229833,0,130
1,0.003956012190324035,0.0,1,130
0,0.0,0.16312111628367046,0,131
1,0.006963468287413141,0.0,1,131
0,0.0,-3.175625330718946,0,132
1,2.5908197701453717,0.0,1,132
0,0.0,-0.4276749557983492,0,133
1,0.049303797300617645,0.0,1,133
0,0.0,-0.003269546072464797,0,134
1,2.825952122122232e-06,0.0,1,134
0,0.0,0.024693105631922903,0,135
1,0.00016082163097075255,0.0,1,135
0,0.0,0.1518797929736172,0,136
1,0.00602844848711967,0.0,1,136
0,0.0,0.06939402045312977,0,137
1,0.00126611144848581,0.0,1,137
0,0.0,0.08511730256953355,0,138
1,0.001899283861026017,0.0,1,138
0,0.0,0.07824648672541432,0,139
1,0.0016055215181055398,0.0,1,139
0,0.0,0.07806538856603178,0,140
1,0.0015976289716780254,0.0,1,140
0,0.0,0.07734024391287134,0,141
1,0.0015662454589838986,0.0,1,141
0,0.0,0.07442761955174615,0,142
1,0.0014437047535944547,0.0,1,142
0,0.0,0.0,0,143
1,0.0,0.0,1,143
0,0.0,0.07260173505837805,0,144
1,0.0013715400397107103,0.0,1,144
0,0.0,0.07484385588795531,0,145
1,0.0014468978928093915,0.0,1,145
0,0.0,0.07499219232408215,0,146
1,0.0014521861977857277,0.0,1,146
0,0.0,0.07558610761035897,0,147
1,0.0014734412231041053,0.0,1,147
0,0.0,0.07671707793044986,0,148
1,0.0015095618264649793,0.0,1,148
0,0.0,0.07763507688493586,0,149
1,0.0015293347280467924,0.0,1,149
0,0.0,0.07773580755649567,0,150
1,0.0015082674966706464,0.0,1,150
0,0.0,0.07673355658757533,0,151
1,0.0014569334985947823,0.0,1,151
0,0.0,0.07620584038716717,0,152
1,0.0014366953926282136,0.0,1,152
0,0.0,0.07611376850117113,0,153
1,0.0014340459344926292,0.0,1,153
0,0.0,0.07611084872492077,0,154
1,0.0014340684999980102,0.0,1,154
0,0.0,0.07611084872492077,0,155
1,0.0014340684999980102,0.0,1,155
0,0.0,0.07611084872492077,0,156
1,0.0014340684999980102,0.0,1,156
0,0.0,-2.0179306145665694,0,157
1,0.951295424293638,0.0,1,157
0,0.0,-0.29175403739239564,0,158
1,0.021151076432310685,0.0,1,158
0,0.0,0.005821909732569108,0,159
1,8.401430040375922e-06,0.0,1,159
0,0.0,0.06012938884807772,0,160
1,0.00089533197339604,0.0,1,160
0,0.0,0.060802499541899896,0,161
1,0.0009154364684893802,0.0,1,161
0,0.0,0.05566657945946574,0,162
1,0.000766711766727869,0.0,1,162
0,0.0,0.05754683338695086,0,163
1,0.0008193968548820997,0.0,1,163
0,0.0,0.05803779365526802,0,164
1,0.0008333955128914135,0.0,1,164
0,0.0,0.05805090068297069,0,165
1,0.0008337233928128495,0.0,1,165
0,0.0,0.05810333767205864,0,166
1,0.0008350356165283607,0.0,1,166
0,0.0,0.05831322770887053,0,167
1,0.0008402957796860525,0.0,1,167
0,0.0,0.05856673690491237,0,168
1,0.000844220000463197,0.0,1,168
0,0.0,0.05845241018693242,0,169
1,0.000836488085046368,0.0,1,169
0,0.0,0.05820913171821108,0,170
1,0.0008284902165210186,0.0,1,170
0,0.0,0.058127081804840657,0,171
1,0.000826228191395273,0.0,1,171
0,0.0,0.058120496992740536,0,172
1,0.0008260927376149855,0.0,1,172
0,0.0,0.058120496992740536,0,173
1,0.0008260927376149855,0.0,1,173
0,0.0,0.07611084872492077,0,174
1,0.0014340684999980102,0.0,1,174
0,0.0,-3.812763748187254,0,175
1,3.010613453130274,0.0,1,175
0,0.0,-0.5662328425843318,0,176
1,0.07961656790927057,0.0,1,176
0,0.0,-0.05448506289915633,0,177
1,0.00073663473896974,0.0,1,177
0,0.0,0.023198597990343333,0,178
1,0.00013337050225987232,0.0,1,178
0,0.0,0.028757530724095266,0,179
1,0.0002048899183047485,0.0,1,179
0,0.0,0.03968937323023562,0,180
1,0.0003901512190854155,0.0,1,180
0,0.0,0.036271215986842804,0,181
1,0.0003258537513477189,0.0,1,181
0,0.0,0.03652107860056466,0,182
1,0.00033033752830590417,0.0,1,182
0,0.0,0.037520743108559046,0,183
1,0.00034858002635974926,0.0,1,183
0,0.0,0.039903613864444604,0,184
1,0.00039368542579649795,0.0,1,184
0,0.0,0.0,0,185
1,0.0,0.0,1,185
0,0.0,0.03420740334172093,0,186
1,0.0002890959396640172,0.0,1,186
0,0.0,0.03587966706693494,0,187
1,0.00031768464566043895,0.0,1,187
0,0.0,0.03549034195541425,0,188
1,0.00031080448963338665,0.0,1,188
0,0.0,0.03530951001745232,0,189
1,0.00030761840499890345,0.0,1,189
0,0.0,0.035255533998749304,0,190
1,0.0003066496357297725,0.0,1,190
0,0.0,0.03504188341828807,0,191
1,0.00030272479117735067,0.0,1,191
0,0.0,0.03480759670629292,0,192
1,0.0002982204022686503,0.0,1,192
0,0.0,0.034509428137598976,0,193
1,0.00029191297808655377,0.0,1,193
0,0.0,0.034390187555941844,0,194
1,0.0002877754636371506,0.0,1,194
0,0.0,0.03473099545893622,0,195
1,0.0002910669421857392,0.0,1,195
0,0.0,0.0352705838464518,0,196
1,0.0002991835211924309,0.0,1,196
0,0.0,0.03548250393583589,0,197
1,0.000302971787936226,0.0,1,197
0,0.0,0.03550312257441512,0,198
1,0.00030346564336546496,0.0,1,198
0,0.0,0.03550158867210878,0,199
1,0.00030345691975045734,0.0,1,199
0,0.0,0.03550158867210878,0,200
1,0.00030345691975045734,0.0,1,200
0,0.0,0.03550158867210878,0,201
1,0.00030345691975045734,0.0,1,201
0,0.0,-2.0745877649747526,0,202
1,0.9593107867396732,0.0,1,202
0,0.0,-0.32402053500981814,0,203
1,0.025275832169673326,0.0,1,203
0,0.0,-0.03280995707387436,0,204
1,0.00025931363742581987,0.0,1,204
0,0.0,0.025316761728018486,0,205
1,0.0001543320193680681,0.0,1,205
0,0.0,0.028067775536694095,0,206
1,0.00018968871313763836,0.0,1,206
0,0.0,0.028792230515495627,0,207
1,0.0001996027516014547,0.0,1,207
0,0.0,0.02981080634873371,0,208
1,0.00021395760836277004,0.0,1,208
0,0.0,0.001950977033194863,0,209
1,9.159316015433153e-07,0.0,1,209
0,0.0,0.026905889858695093,0,210
1,0.00017428206766500608,0.0,1,210
0,0.0,0.0270731914628178,0,211
1,0.00017645462532548504,0.0,1,211
0,0.0,0.027085039801296503,0,212
1,0.00017660676214258572,0.0,1,212
0,0.0,0.027135003495993112,0,213
1,0.0001772372519291991,0.0,1,213
0,0.0,0.02719225804191001,0,214
1,0.00017793512478607223,0.0,1,214
0,0.0,0.02727518732131886,0,215
1,0.00017887695628874265,0.0,1,215
0,0.0,0.02733616527557906,0,216
1,0.00017939559593237306,0.0,1,216
0,0.0,0.027301482621245102,0,217
1,0.00017857264105347308,0.0,1,217
0,0.0,0.02718195731931004,0,218
1,0.0001768237972465992,0.0,1,218
0,0.0,0.027112847436948036,0,219
1,0.00017593305918997665,0.0,1,219
0,0.0,0.02710095487976688,0,220
1,0.0001758018361243501,0.0,1,220
0,0.0,0.02710095487976688,0,221
1,0.0001758018361243501,0.0,1,221
0,0.0,0.03550158867210878,0,222
1,0.00030345691975045734,0.0,1,222
0,0.0,-4.0851376646738,0,223
1,3.1938302366536337,0.0,1,223
0,0.0,-0.6263018357275024,0,224
1,0.09390546660387177,0.0,1,224
0,0.0,-0.08591995734466214,0,225
1,0.0017784902392248446,0.0,1,225
0,0.0,4.807163225544797e-05,0,226
1,5.56531223388129e-10,0.0,1,226
0,0.0,0.006064909526181566,0,227
1,8.85816643003549e-06,0.0,1,227
0,0.0,0.033117171151823104,0,228
1,0.00026404698081186867,0.0,1,228
0,0.0,0.015336622497112417,0,229
1,5.6638948861710546e-05,0.0,1,229
0,0.0,0.018419369573357654,0,230
1,8.16922504731593e-05,0.0,1,230
0,0.0,0.017137271861980163,0,231
1,7.071615636134133e-05,0.0,1,231
0,0.0,0.017091932208488796,0,232
1,7.034141730785358e-05,0.0,1,232
0,0.0,0.016910564574204222,0,233
1,6.88523982957701e-05,0.0,1,233
0,0.0,0.01618494968848814,0,234
1,6.305533393732194e-05,0.0,1,234
0,0.0,0.0,0,235
1,0.0,0.0,1,235
0,0.0,0.016076654425394712,0,236
1,6.221320236739608e-05,0.0,1,236
0,0.0,0.016752443096928554,0,237
1,6.752939844523243e-05,0.0,1,237
0,0.0,0.016589507066662387,0,238
1,6.62202397003968e-05,0.0,1,238
0,0.0,0.016486296171291062,0,239
1,6.539679790509568e-05,0.0,1,239
0,0.0,0.016479623419854584,0,240
1,6.534287662587131e-05,0.0,1,240
0,0.0,0.01645293103603412,0,241
1,6.512741114740398e-05,0.0,1,241
0,0.0,0.016394406668572087,0,242
1,6.464425439900021e-05,0.0,1,242
0,0.0,0.016282958611081276,0,243
1,6.369222343906366e-05,0.0,1,243
0,0.0,0.016180997988253558,0,244
1,6.27408543703481e-05,0.0,1,244
0,0.0,0.016163805380382815,0,245
1,6.233936079608456e-05,0.0,1,245
0,0.0,0.016320282614116773,0,246
1,6.331096573456604e-05,0.0,1,246
