,0,1,2,vars,t
1,0.018013206574679842,0.0,0.0665814342855971,1,158
2,0.016511751400709276,0.07215389846397557,0.0,2,158
0,0.0,0.15865800313935677,0.1314719932523801,0,159
1,0.018174325920215454,0.0,0.06478398297289513,1,159
2,0.01654631104799474,0.07298980514671875,0.0,2,159
0,0.0,0.16550816550168718,0.1283073856166819,0,160
1,0.01830634913179326,0.0,0.06266048569632175,1,160
2,0.016343233847270752,0.07418150674229257,0.0,2,160
0,0.0,0.17106032410521715,0.1254661319269468,0,161
1,0.01828981726717618,0.0,0.061852739987288435,1,161
2,0.015984361896919715,0.07498921380025078,0.0,2,161
0,0.0,0.1739686900944214,0.12326724397004445,0,162
1,0.01814417434464135,0.0,0.062153563658198546,1,162
2,0.015574659628148732,0.0755959106371082,0.0,2,162
0,0.0,0.17305262632366808,0.12198775603922887,0,163
1,0.01792386016855424,0.0,0.06301927100843178,1,163
2,0.0152574121850882,0.07633069373145815,0.0,2,163
0,0.0,0.17114801203052918,0.12172677005296872,0,164
1,0.017762063234825827,0.0,0.06349995146595018,1,164
2,0.01513584755995531,0.07643515185751305,0.0,2,164
0,0.0,0.1699053645610352,0.12174864464230324,0,165
1,0.017685327229548426,0.0,0.06364013318403045,1,165
2,0.01510432532183658,0.07642890516426057,0.0,2,165
0,0.0,0.16922312804648176,0.12181900661001252,0,166
1,0.017644428149741112,0.0,0.06364903520548977,1,166
2,0.015092692934142145,0.07641048740258101,0.0,2,166
0,0.0,0.16897618686861862,0.12198367058326885,0,167
1,0.017615087794268344,0.0,0.06365801573499166,1,167
2,0.015072719631503051,0.0763963769711393,0.0,2,167
0,0.0,0.16978157174452604,0.1222025015307184,0,168
1,0.017633064766883477,0.0,0.06375489044947569,1,168
2,0.015033982498310195,0.07643730538961768,0.0,2,168
0,0.0,0.17083937288169251,0.12209144722886885,0,169
1,0.01767303736034248,0.0,0.06351163556508684,1,169
2,0.015001891103186898,0.076532472769777,0.0,2,169
0,0.0,0.17136470713871427,0.12205547841790866,0,170
1,0.01769796428493012,0.0,0.06345587564267774,1,170
2,0.014979625919227585,0.07657190544797614,0.0,2,170
0,0.0,0.17185958883026448,0.1220509857963087,0,171
1,0.017727717229924708,0.0,0.06342306657731323,1,171
2,0.014940532672962619,0.0766090658564128,0.0,2,171
0,0.0,0.17212307148075293,0.12212665801657027,0,172
1,0.017756069179601174,0.0,0.06342255824534453,1,172
2,0.014873275706668741,0.07663205740025149,0.0,2,172
0,0.0,0.17183007186791688,0.12239226692858764,0,173
1,0.017777613706144547,0.0,0.06348345818983657,1,173
2,0.014749914106093826,0.07661313387654038,0.0,2,173
0,0.0,0.17088713628565355,0.12266241343694628,0,174
1,0.017751412669567167,0.0,0.06368816047524134,1,174
2,0.014645787997648747,0.07656847093038122,0.0,2,174
0,0.0,0.1704594410347959,0.12271975754734411,0,175
1,0.01773294484113509,0.0,0.06374442939556427,1,175
2,0.014637108707310158,0.07654362262765105,0.0,2,175
0,0.0,0.17038414766169033,0.12271949141868758,0,176
1,0.017728702531720902,0.0,0.06374758539201561,1,176
2,0.014643341877550935,0.0765376624152419,0.0,2,176
0,0.0,0.17037040503889164,0.12272123367057064,0,177
1,0.017728311070831382,0.0,0.0637459181628928,1,177
2,0.014646448274230547,0.07653498274267802,0.0,2,177
0,0.0,0.17037040503889164,0.12272123367057064,0,178
1,0.017728311070831382,0.0,0.0637459181628928,1,178
2,0.014646448274230547,0.07653498274267802,0.0,2,178
0,0.0,0.2271049608921652,0.16894926784920974,0,179
1,0.02786889846844467,0.0,0.08851175731326216,1,179
2,0.02216539406320366,0.0989646133682049,0.0,2,179
0,0.0,-3.234438325265531,-0.02680435724654948,0,180
1,1.5498440847365982,0.0,-0.006657233635916958,1,180
2,0.03203281404766683,0.03853017046220976,0.0,2,180
0,0.0,-0.4046735950778294,0.07370489622010107,0,181
1,0.02666079834342499,0.0,0.04798884720427837,1,181
2,0.006930046704289633,0.03271864508731113,0.0,2,181
0,0.0,-0.06112626625682854,0.12117396225267604,0,182
1,0.013019687260592733,0.0,0.06845741573459695,1,182
2,0.014120514279608655,0.06358826368963791,0.0,2,182
0,0.0,-0.0018992337160972609,0.10835650925495191,0,183
1,0.010338690198647662,0.0,0.06272968833516188,1,183
2,0.011925695439719362,0.05412985421137011,0.0,2,183
0,0.0,0.0591984683714921,0.09340525860277642,0,184
1,0.00836860839496992,0.0,0.05547463312421298,1,184
2,0.009438924505327434,0.0431481050165367,0.0,2,184
0,0.0,0.08183198491970661,0.08710701845213875,0,185
1,0.0077845375889119914,0.0,0.05165058352540833,1,185
2,0.00840055871320333,0.03814384766109257,0.0,2,185
0,0.0,0.08972914749065346,0.08470284289466141,0,186
1,0.007519282557338914,0.0,0.049077929512361965,1,186
2,0.007954285951044967,0.03541469274730307,0.0,2,186
0,0.0,0.09461963695201864,0.08255284792810424,0,187
1,0.007200561322516976,0.0,0.04505511465786496,1,187
2,0.007409849915250182,0.03174802618107915,0.0,2,187
0,0.0,0.0916638002269672,0.08351400571027118,0,188
1,0.007156278387332007,0.0,0.04236954639355978,1,188
2,0.007209265886742938,0.030043465505227705,0.0,2,188
0,0.0,0.0,0.07202050532364382,0,189
1,0.004664042927525373,0.0,0.017429248878038203,1,189
2,0.005381499758697675,0.01811916985502515,0.0,2,189
0,0.0,0.08016787086855735,0.08201735299873299,0,190
1,0.006710061737401255,0.0,0.03908161789360305,1,190
2,0.006956750861569494,0.02814619059767968,0.0,2,190
0,0.0,0.0,0.08411121023032533,0,191
1,0.006178161277940067,0.0,0.02539624746022357,1,191
2,0.006990540995806642,0.024602183671236358,0.0,2,191
0,0.0,0.06553226543094756,0.08239800360051641,0,192
1,0.006492598230015435,0.0,0.036571756995113974,1,192
2,0.00696330723201348,0.0273461421557157,0.0,2,192
0,0.0,0.07821339065943302,0.08752577630639172,0,193
1,0.00725126367058863,0.0,0.03591631547271504,1,193
2,0.007212407113558898,0.028066927083377657,0.0,2,193
0,0.0,0.07995860654300956,0.09152055397201742,0,194
1,0.007871736266535938,0.0,0.038455154125920606,1,194
2,0.007831917249998675,0.03089078317516741,0.0,2,194
0,0.0,0.011589633242251015,0.09625373632130116,0,195
1,0.007938202624637706,0.0,0.03933080004300189,1,195
2,0.008730309949969798,0.034512535054290784,0.0,2,195
0,0.0,0.0516502608769438,0.09350369525248081,0,196
1,0.007756229929639936,0.0,0.038823595147103214,1,196
2,0.008201265314724015,0.03237208776837935,0.0,2,196
0,0.0,0.058265443906877,0.09524612123496015,0,197
1,0.008124416437344004,0.0,0.04142564186236373,1,197
2,0.008475337021725723,0.03434529953729598,0.0,2,197
0,0.0,0.06807705464246587,0.09007763378461277,0,198
1,0.007510517811911182,0.0,0.04032676762846237,1,198
2,0.007575005560961713,0.031628770514600606,0.0,2,198
0,0.0,0.07794790620471001,0.09042176844605859,0,199
1,0.00772077522676441,0.0,0.041628610655004616,1,199
2,0.007573471912015095,0.03216108112608181,0.0,2,199
0,0.0,0.08033345094670956,0.09050133904191425,0,200
1,0.007766479376821955,0.0,0.04246988146500253,1,200
2,0.007541153107637034,0.032424033335634844,0.0,2,200
0,0.0,0.08123754600600397,0.0902268527167254,0,201
1,0.007719024813518989,0.0,0.043880004907283644,1,201
2,0.007404160768402218,0.03263900233144134,0.0,2,201
0,0.0,0.07926746318102117,0.08928302835078956,0,202
1,0.007493516250509337,0.0,0.04585376428663633,1,202
2,0.0070802980646139475,0.032577870116117166,0.0,2,202
0,0.0,0.0767312573433208,0.0887904714497877,0,203
1,0.007329695365260877,0.0,0.04660851792305752,1,203
2,0.006862545295878286,0.03229928976640387,0.0,2,203
0,0.0,0.07406271088526843,0.08857083694993954,0,204
1,0.007198161991225631,0.0,0.04696546704456631,1,204
2,0.0066770608822524944,0.031942643726152485,0.0,2,204
0,0.0,0.07185536350335202,0.08868743301978976,0,205
1,0.007111232985716833,0.0,0.04718105226387578,1,205
2,0.006511694676900231,0.031588141315404515,0.0,2,205
0,0.0,0.0675617783756223,0.08955812831987572,0,206
1,0.0069677700385372115,0.0,0.047711462888801195,1,206
2,0.006114774155850689,0.030736747773832025,0.0,2,206
0,0.0,0.06202661893256272,0.09191264894316764,0,207
1,0.006809196013434954,0.0,0.048698645512646334,1,207
2,0.005452966724549423,0.029288085500544896,0.0,2,207
0,0.0,0.05665375249019374,0.09658122820236824,0,208
1,0.006672194311843258,0.0,0.05023039495110604,1,208
2,0.004556913752544447,0.0272089228734109,0.0,2,208
0,0.0,0.05378931088335605,0.1033729975041349,0,209
1,0.006714935850681114,0.0,0.052439397221335414,1,209
2,0.0038437523098508474,0.02572491371232429,0.0,2,209
0,0.0,0.061207979643741285,0.10794137501525823,0,210
1,0.006806532144221638,0.0,0.055554259855141896,1,210
2,0.003402839402012682,0.02501757787801281,0.0,2,210
0,0.0,0.06294262091486628,0.10978632179869909,0,211
1,0.007010230498466173,0.0,0.05523793767896275,1,211
2,0.0034876673365296738,0.02533673482330465,0.0,2,211
0,0.0,0.06272991865792266,0.10994812326914488,0,212
