,0,1,vars,t
0,0.0,0.08622895113514498,0,189
1,0.0005563583240156236,0.0,1,189
0,0.0,0.08623207836707612,0,190
1,0.0005564047722473497,0.0,1,190
0,0.0,0.08623207836707612,0,191
1,0.0005564047722473497,0.0,1,191
0,0.0,0.11320764057051513,0,192
1,0.0009645625126435514,0.0,1,192
0,0.0,-11.534301159855838,0,193
1,6.074928544819165,0.0,1,193
0,0.0,-1.5294200721497284,0,194
1,0.17207514236719776,0.0,1,194
0,0.0,-0.19506399612994774,0,195
1,0.0028645982920948204,0.0,1,195
0,0.0,0.005009161158632165,0,196
1,1.8891460586231078e-06,0.0,1,196
0,0.0,0.022126087068547035,0,197
1,3.685766807214605e-05,0.0,1,197
0,0.0,0.09540989627446286,0,198
1,0.0006851245136754689,0.0,1,198
0,0.0,0.049468341919184186,0,199
1,0.00018421671034579408,0.0,1,199
0,0.0,0.05646087158317952,0,200
1,0.00023996457140327052,0.0,1,200
0,0.0,0.05382119695453836,0,201
1,0.0002180525461945584,0.0,1,201
0,0.0,0.053645956964304055,0,202
1,0.00021663174867871313,0.0,1,202
0,0.0,0.05294496342461153,0,203
1,0.0002109949338834437,0.0,1,203
0,0.0,0.047911942195621705,0,204
1,0.00017263116919673886,0.0,1,204
0,0.0,0.0489196464844909,0,205
1,0.00017993312575172862,0.0,1,205
0,0.0,0.051813820190174414,0,206
1,0.00020185572143028915,0.0,1,206
0,0.0,0.05244252456093092,0,207
1,0.00020678206355561094,0.0,1,207
0,0.0,0.052419114932474295,0,208
1,0.00020659514560566114,0.0,1,208
0,0.0,0.05232547283465521,0,209
1,0.00020584831194076498,0.0,1,209
0,0.0,0.05220278257142317,0,210
1,0.00020484668495009454,0.0,1,210
0,0.0,0.05183693477410768,0,211
1,0.00020176905860373645,0.0,1,211
0,0.0,0.051517334682625614,0,212
1,0.00019886989968355992,0.0,1,212
0,0.0,0.0513939958824329,0,213
1,0.0001971176240647476,0.0,1,213
0,0.0,0.05178659355775656,0,214
1,0.00019936244027621386,0.0,1,214
0,0.0,0.052326196492831614,0,215
1,0.00020327583080168867,0.0,1,215
0,0.0,0.05251179685820721,0,216
1,0.00020478685101153637,0.0,1,216
0,0.0,0.052527471218356624,0,217
1,0.00020494597226999406,0.0,1,217
0,0.0,0.052526206024182516,0,218
1,0.00020493982590126105,0.0,1,218
0,0.0,0.052526206024182516,0,219
1,0.00020493982590126105,0.0,1,219
0,0.0,0.052526206024182516,0,220
1,0.00020493982590126105,0.0,1,220
0,0.0,-10.253638692269952,0,221
1,4.986248696136104,0.0,1,221
0,0.0,-1.4362929659394463,0,222
1,0.14997361838664286,0.0,1,222
0,0.0,-0.21093646093996007,0,223
1,0.0033042692181466373,0.0,1,223
0,0.0,0.001657206832350424,0,224
1,2.0401535423438577e-07,0.0,1,224
0,0.0,0.040826885430905895,0,225
1,0.00012381612308308223,0.0,1,225
0,0.0,0.04136424981547625,0,226
1,0.00012709650467206137,0.0,1,226
0,0.0,0.04300024139824349,0,227
1,0.00013734639445667988,0.0,1,227
0,0.0,0.038742466856804186,0,228
1,0.00011149013174214961,0.0,1,228
0,0.0,0.03993484287280031,0,229
1,0.00011845850836054299,0.0,1,229
0,0.0,0.04004755223779796,0,230
1,0.0001191277950940191,0.0,1,230
0,0.0,0.04004843046460234,0,231
1,0.00011913268968424881,0.0,1,231
0,0.0,0.04005194340224632,0,232
1,0.00011915226909419734,0.0,1,232
0,0.0,0.04006599563965134,0,233
1,0.00011923060352140274,0.0,1,233
0,0.0,0.040122212378836036,0,234
1,0.00011954420986565371,0.0,1,234
0,0.0,0.04022664548608146,0,235
1,0.00012003555866176931,0.0,1,235
0,0.0,0.040179834550852014,0,236
1,0.00011962697873272939,0.0,1,236
0,0.0,0.040090248640405154,0,237
1,0.0001190565759773297,0.0,1,237
0,0.0,0.04006067710240881,0,238
1,0.00011888345589757519,0.0,1,238
0,0.0,0.04005809677840721,0,239
1,0.00011887003962976355,0.0,1,239
0,0.0,0.04005809677840721,0,240
1,0.00011887003962976355,0.0,1,240
0,0.0,0.052526206024182516,0,241
1,0.00020493982590126105,0.0,1,241
0,0.0,-11.955362502453687,0,242
1,6.303014561814008,0.0,1,242
0,0.0,-1.6101779579464441,0,243
1,0.18744786199894226,0.0,1,243
0,0.0,-0.24092579131966937,0,244
1,0.004309951968837221,0.0,1,244
0,0.0,-0.013535769499329138,0,245
1,1.3610636843742751e-05,0.0,1,245
0,0.0,0.0002661264582765594,0,246
1,5.261201697944127e-09,0.0,1,246
0,0.0,0.0410938976007397,0,247
1,0.00012543877002872493,0.0,1,247
0,0.0,0.01308211703457082,0,248
1,1.271325589058185e-05,0.0,1,248
0,0.0,0.04144124374052115,0,249
1,0.00012756648431158434,0.0,1,249
0,0.0,0.02365295657093765,0,250
1,4.1558654558627444e-05,0.0,1,250
0,0.0,0.02568834358895122,0,251
1,4.90183726193821e-05,0.0,1,251
0,0.0,0.025142813914044247,0,252
1,4.695848952598144e-05,0.0,1,252
0,0.0,0.024787827147476793,0,253
1,4.5641584657146914e-05,0.0,1,253
0,0.0,0.0237634274290155,0,254
1,4.194552923567423e-05,0.0,1,254
0,0.0,0.022325994834776174,0,255
1,3.7020802719138353e-05,0.0,1,255
0,0.0,0.02185338136663872,0,256
1,3.546627359297053e-05,0.0,1,256
0,0.0,0.022759618772596583,0,257
1,3.8468871639629335e-05,0.0,1,257
